,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
123,江苏,宿迁,0,12,0,6,0.00,50.00
124,重庆,万州区,1,105,3,34,2.86,32.38
125,重庆,江北区,1,27,0,3,0.00,11.11
126,重庆,合川区,0,23,0,6,0.00,26.09
127,重庆,云阳县,0,23,0,16,0.00,69.57
128,重庆,綦江区,1,23,0,5,0.00,21.74
129,重庆,九龙坡区,0,20,1,7,5.00,35.00
130,重庆,渝中区,0,20,0,7,0.00,35.00
131,重庆,开州区,0,20,1,12,5.00,60.00
132,重庆,垫江县,0,20,0,5,0.00,25.00
133,重庆,奉节县,0,20,0,5,0.00,25.00
134,重庆,忠县,1,20,0,9,0.00,45.00
135,重庆,长寿区,2,20,0,9,0.00,45.00
136,重庆,潼南区,1,18,0,2,0.00,11.11
137,重庆,两江新区,0,17,0,7,0.00,41.18
138,重庆,南岸区,0,15,0,2,0.00,13.33
139,重庆,渝北区,0,15,0,5,0.00,33.33
140,重庆,大足区,0,14,0,2,0.00,14.29
141,重庆,石柱县,0,14,0,5,0.00,35.71
142,重庆,巫溪县,0,13,0,8,0.00,61.54
143,重庆,巫山县,0,10,0,5,0.00,50.00
144,重庆,丰都县,0,10,0,3,0.00,30.00
145,重庆,铜梁区,0,9,0,2,0.00,22.22
146,重庆,荣昌区,0,9,0,0,0.00,0.00
147,重庆,璧山区,0,8,0,4,0.00,50.00
148,重庆,沙坪坝区,0,8,0,0,0.00,0.00
149,重庆,大渡口区,0,7,0,4,0.00,57.14
150,重庆,巴南区,0,6,0,1,0.00,16.67
151,重庆,永川区,0,5,0,2,0.00,40.00
152,重庆,江津区,0,4,0,2,0.00,50.00
153,重庆,高新区,0,4,0,1,0.00,25.00
154,重庆,梁平区,0,4,0,4,0.00,100.00
155,重庆,涪陵区,0,3,0,1,0.00,33.33
156,重庆,城口县,0,2,0,2,0.00,100.00
157,重庆,黔江区,0,2,0,2,0.00,100.00
158,重庆,彭水县,0,2,0,0,0.00,0.00
159,重庆,武隆区,0,1,0,1,0.00,100.00
160,重庆,万盛经开区,0,1,0,0,0.00,0.00
161,重庆,酉阳县,0,1,0,0,0.00,0.00
162,重庆,秀山县,0,1,0,1,0.00,100.00
163,山东,青岛,1,57,1,22,1.75,38.60
164,山东,济宁,2,51,0,18,0.00,35.29
165,山东,临沂,0,47,0,29,0.00,61.70
166,山东,济南,0,47,0,11,0.00,23.40
167,山东,烟台,0,46,0,13,0.00,28.26
168,山东,潍坊,1,43,0,9,0.00,20.93
169,山东,威海,0,38,0,9,0.00,23.68
170,山东,聊城,0,38,0,10,0.00,26.32
171,山东,德州,1,37,1,7,2.70,18.92
172,山东,泰安,0,32,0,5,0.00,15.62
173,山东,淄博,1,29,0,4,0.00,13.79
174,山东,枣庄,0,24,0,4,0.00,16.67
175,山东,菏泽,0,18,0,11,0.00,61.11
176,山东,日照,1,16,0,3,0.00,18.75
177,山东,滨州,0,14,0,9,0.00,64.29
178,四川,成都,1,140,1,49,0.71,35.00
179,四川,甘孜,6,50,0,3,0.00,6.00
180,四川,达州,0,36,0,5,0.00,13.89
181,四川,南充,0,35,0,9,0.00,25.71
182,四川,广安,0,30,0,10,0.00,33.33
183,四川,巴中,0,24,0,1,0.00,4.17
184,四川,绵阳,0,22,0,6,0.00,27.27
185,四川,内江,0,22,0,5,0.00,22.73
186,四川,泸州,0,19,0,2,0.00,10.53
187,四川,德阳,0,17,0,0,0.00,0.00
188,四川,凉山,2,13,0,5,0.00,38.46
189,四川,攀枝花,0,13,0,10,0.00,76.92
190,四川,遂宁,2,12,0,4,0.00,33.33
191,四川,宜宾,0,11,0,6,0.00,54.55
192,四川,自贡,0,9,0,2,0.00,22.22
193,四川,眉山,0,8,0,2,0.00,25.00
194,四川,雅安,0,7,0,2,0.00,28.57
195,四川,广元,0,6,0,2,0.00,33.33
196,四川,资阳,0,3,0,2,0.00,66.67
197,四川,乐山,0,3,0,2,0.00,66.67
198,四川,阿坝,0,1,0,0,0.00,0.00
199,四川,地区待确认,0,0,2,0,0.00,0.00
200,黑龙江,哈尔滨,15,182,3,30,1.65,16.48
201,黑龙江,双鸭山,1,49,2,1,4.08,2.04
202,黑龙江,鸡西,1,46,0,1,0.00,2.17
203,黑龙江,绥化,0,46,4,12,8.70,26.09
204,黑龙江,齐齐哈尔,2,38,1,8,2.63,21.05
205,黑龙江,大庆,0,19,1,2,5.26,10.53
206,黑龙江,七台河,0,16,0,4,0.00,25.00
207,黑龙江,佳木斯,0,15,0,9,0.00,60.00
208,黑龙江,黑河,1,14,0,0,0.00,0.00
209,黑龙江,牡丹江,0,12,0,1,0.00,8.33
210,黑龙江,鹤岗,0,5,0,2,0.00,40.00
211,黑龙江,大兴安岭,0,2,0,0,0.00,0.00
212,黑龙江,伊春,0,1,0,0,0.00,0.00
213,北京,海淀,1,60,0,0,0.00,0.00
214,北京,朝阳,0,58,0,0,0.00,0.00
215,北京,西城,0,46,0,0,0.00,0.00
216,北京,大兴,0,39,0,0,0.00,0.00
217,北京,丰台,1,39,0,0,0.00,0.00
218,北京,外地来京,0,26,0,0,0.00,0.00
219,北京,昌平,1,25,0,0,0.00,0.00
220,北京,通州,1,18,0,0,0.00,0.00
221,北京,房山,1,15,0,0,0.00,0.00
222,北京,石景山,0,14,0,0,0.00,0.00
223,北京,东城,0,12,0,0,0.00,0.00
224,北京,顺义,0,10,0,0,0.00,0.00
225,北京,密云,0,7,0,0,0.00,0.00
226,北京,怀柔,0,7,0,0,0.00,0.00
227,北京,门头沟,0,3,0,0,0.00,0.00
228,北京,延庆,0,1,0,0,0.00,0.00
229,北京,地区待确认,0,0,4,105,0.00,0.00
230,上海,外地来沪,0,109,0,48,0.00,44.04
231,上海,浦东,1,57,0,27,0.00,47.37
232,上海,宝山,1,21,0,5,0.00,23.81
233,上海,徐汇,0,18,0,4,0.00,22.22
234,上海,闵行,0,18,0,7,0.00,38.89
235,上海,静安,0,16,0,7,0.00,43.75
236,上海,松江,0,14,0,2,0.00,14.29
237,上海,长宁,0,13,0,6,0.00,46.15
238,上海,普陀,0,11,0,2,0.00,18.18
239,上海,嘉定,0,9,0,2,0.00,22.22
240,上海,奉贤,0,9,0,1,0.00,11.11
241,上海,杨浦,0,9,0,2,0.00,22.22
242,上海,虹口,0,7,0,3,0.00,42.86
243,上海,黄浦,0,6,0,2,0.00,33.33
244,上海,青浦,0,5,0,4,0.00,80.00
245,上海,金山,0,3,0,2,0.00,66.67
246,上海,崇明,0,3,0,0,0.00,0.00
247,上海,地区待确认,0,0,1,0,0.00,0.00
248,河北,唐山,5,51,0,9,0.00,17.65
249,河北,沧州,1,47,2,14,4.26,29.79
250,河北,张家口,1,34,0,9,0.00,26.47
251,河北,保定,0,32,0,19,0.00,59.38
252,河北,邯郸,0,31,0,9,0.00,29.03
253,河北,廊坊,1,30,0,14,0.00,46.67
254,河北,石家庄,1,28,0,7,0.00,25.00
255,河北,邢台,0,22,1,10,4.55,45.45
256,河北,秦皇岛,0,10,0,3,0.00,30.00
257,河北,衡水,0,8,0,4,0.00,50.00
258,河北,承德,0,7,0,2,0.00,28.57
259,福建,福州,2,68,0,20,0.00,29.41
260,福建,莆田,0,55,0,10,0.00,18.18
261,福建,泉州,0,46,0,13,0.00,28.26
262,福建,厦门,0,34,0,5,0.00,14.71
263,福建,宁德,0,25,0,5,0.00,20.00
264,福建,漳州,0,20,0,6,0.00,30.00
265,福建,南平,0,20,0,5,0.00,25.00
266,福建,三明,0,13,0,3,0.00,23.08
267,福建,龙岩,0,6,0,1,0.00,16.67
268,福建,地区待确认,0,0,0,9,0.00,0.00
269,广西,南宁,1,50,0,11,0.00,22.00
270,广西,北海,0,43,1,7,2.33,16.28
271,广西,桂林,0,31,0,10,0.00,32.26
272,广西,柳州,0,24,0,8,0.00,33.33
273,广西,河池,0,22,1,0,4.55,0.00
274,广西,防城港,1,18,0,1,0.00,5.56
275,广西,来宾,0,11,0,0,0.00,0.00
276,广西,玉林,0,10,0,1,0.00,10.00
277,广西,贵港,0,8,0,2,0.00,25.00
278,广西,钦州,0,8,0,1,0.00,12.50
279,广西,梧州,0,5,0,5,0.00,100.00
280,广西,贺州,0,4,0,0,0.00,0.00
281,广西,百色,0,3,0,0,0.00,0.00
282,广西,崇左,0,0,0,0,0.00,0.00
283,陕西,西安,0,114,0,0,0.00,0.00
284,陕西,汉中,4,25,0,0,0.00,0.00
285,陕西,安康,0,24,0,0,0.00,0.00
286,陕西,咸阳,0,17,0,0,0.00,0.00
287,陕西,渭南,0,15,0,0,0.00,0.00
288,陕西,宝鸡,0,13,0,0,0.00,0.00
289,陕西,延安,0,8,0,0,0.00,0.00
290,陕西,铜川,0,8,0,0,0.00,0.00
291,陕西,商洛,0,7,0,0,0.00,0.00
292,陕西,榆林,0,3,0,0,0.00,0.00
293,陕西,韩城,0,1,0,0,0.00,0.00
294,陕西,杨凌,0,1,0,0,0.00,0.00
295,陕西,地区待确认,0,0,0,64,0.00,0.00
296,云南,昆明,1,49,0,8,0.00,16.33
297,云南,昭通市,0,25,0,2,0.00,8.00
298,云南,西双版纳州,0,15,0,3,0.00,20.00
299,云南,玉溪,0,14,0,3,0.00,21.43
300,云南,大理,0,13,0,6,0.00,46.15
301,云南,曲靖,0,13,0,5,0.00,38.46
302,云南,保山市,0,9,0,0,0.00,0.00
303,云南,红河,0,8,0,3,0.00,37.50
304,云南,丽江市,0,7,0,2,0.00,28.57
305,云南,德宏州,0,5,0,2,0.00,40.00
306,云南,楚雄州,0,4,0,1,0.00,25.00
307,云南,普洱,0,4,0,0,0.00,0.00
308,云南,文山州,0,2,0,0,0.00,0.00
309,云南,临沧,0,1,0,0,0.00,0.00
310,云南,地区待确认,0,0,0,7,0.00,0.00
311,海南,三亚,0,54,1,15,1.85,27.78
312,海南,海口,0,33,0,9,0.00,27.27
313,海南,儋州,0,15,0,2,0.00,13.33
314,海南,万宁,0,13,0,3,0.00,23.08
315,海南,澄迈县,0,9,1,1,11.11,11.11
316,海南,昌江县,0,7,0,0,0.00,0.00
317,海南,琼海,0,6,1,1,16.67,16.67
318,海南,临高县,0,6,0,3,0.00,50.00
319,海南,陵水县,0,4,0,0,0.00,0.00
320,海南,文昌,0,3,0,1,0.00,33.33
321,海南,定安县,0,3,1,1,33.33,33.33
322,海南,保亭,0,3,0,0,0.00,0.00
323,海南,东方,0,3,0,2,0.00,66.67
324,海南,乐东,0,2,0,0,0.00,0.00
325,海南,琼中县,0,1,0,1,0.00,100.00
326,贵州,贵阳,0,34,0,6,0.00,17.65
327,贵州,遵义,1,32,0,3,0.00,9.38
328,贵州,毕节,0,23,0,6,0.00,26.09
329,贵州,黔南州,0,17,0,5,0.00,29.41
330,贵州,黔东南州,0,10,0,3,0.00,30.00
331,贵州,铜仁,0,10,0,7,0.00,70.00
332,贵州,六盘水,0,10,1,3,10.00,30.00
333,贵州,黔西南州,0,4,0,4,0.00,100.00
334,贵州,安顺,0,4,0,0,0.00,0.00
335,山西,晋中,0,35,0,12,0.00,34.29
336,山西,太原,0,19,0,6,0.00,31.58
337,山西,运城,0,19,0,13,0.00,68.42
338,山西,大同,0,12,0,4,0.00,33.33
339,山西,晋城,1,9,0,2,0.00,22.22
340,山西,长治,0,8,0,0,0.00,0.00
341,山西,朔州,0,7,0,2,0.00,28.57
342,山西,忻州,0,7,0,0,0.00,0.00
343,山西,吕梁,0,6,0,6,0.00,100.00
344,山西,阳泉,0,4,0,0,0.00,0.00
345,山西,临汾,0,2,0,1,0.00,50.00
346,天津,宝坻区,2,48,2,9,4.17,18.75
347,天津,河东区,0,14,1,7,7.14,50.00
348,天津,河北区,0,12,0,7,0.00,58.33
349,天津,和平区,0,6,0,2,0.00,33.33
350,天津,南开区,0,6,0,1,0.00,16.67
351,天津,北辰区,0,6,0,1,0.00,16.67
352,天津,外地来津,0,6,0,2,0.00,33.33
353,天津,西青区,0,4,0,2,0.00,50.00
354,天津,河西区,0,4,0,2,0.00,50.00
355,天津,东丽区,0,4,0,1,0.00,25.00
356,天津,宁河区,0,4,0,0,0.00,0.00
357,天津,滨海新区,0,3,0,0,0.00,0.00
358,天津,武清区,0,2,0,1,0.00,50.00
359,天津,红桥区,0,2,0,2,0.00,100.00
360,天津,津南区,0,1,0,0,0.00,0.00
361,辽宁,沈阳,0,28,0,9,0.00,32.14
362,辽宁,大连,0,18,0,5,0.00,27.78
363,辽宁,葫芦岛,1,12,1,0,8.33,0.00
364,辽宁,锦州,0,12,0,7,0.00,58.33
365,辽宁,盘锦,0,11,0,0,0.00,0.00
366,辽宁,阜新,0,8,0,0,0.00,0.00
367,辽宁,铁岭,0,7,0,1,0.00,14.29
368,辽宁,丹东,0,7,0,4,0.00,57.14
369,辽宁,朝阳市,0,6,0,2,0.00,33.33
370,辽宁,鞍山,0,4,0,0,0.00,0.00
371,辽宁,辽阳,0,3,0,2,0.00,66.67
372,辽宁,本溪,0,3,0,1,0.00,33.33
373,辽宁,营口,0,1,0,1,0.00,100.00
374,甘肃,兰州,0,35,2,17,5.71,48.57
375,甘肃,天水,0,12,0,9,0.00,75.00
376,甘肃,定西,0,9,0,4,0.00,44.44
377,甘肃,平凉,0,9,0,1,0.00,11.11
378,甘肃,甘南州,0,8,0,2,0.00,25.00
379,甘肃,陇南,0,4,0,3,0.00,75.00
380,甘肃,白银,0,4,0,0,0.00,0.00
381,甘肃,庆阳,0,3,0,2,0.00,66.67
382,甘肃,临夏,0,3,0,3,0.00,100.00
383,甘肃,张掖,0,2,0,2,0.00,100.00
384,甘肃,金昌,0,1,0,1,0.00,100.00
385,甘肃,地区待确定,0,0,0,5,0.00,0.00
386,吉林,长春,1,45,0,14,0.00,31.11
387,吉林,四平,0,14,1,4,7.14,28.57
388,吉林,辽源,0,7,0,1,0.00,14.29
389,吉林,公主岭,0,6,0,2,0.00,33.33
390,吉林,吉林,0,5,0,3,0.00,60.00
391,吉林,延边,0,5,0,2,0.00,40.00
392,吉林,通化,0,3,0,0,0.00,0.00
393,吉林,松原,0,2,0,1,0.00,50.00
394,吉林,梅河口市,0,1,0,1,0.00,100.00
395,吉林,白城,0,1,0,0,0.00,0.00
396,新疆,乌鲁木齐,0,23,0,3,0.00,13.04
397,新疆,伊犁州,0,16,0,4,0.00,25.00
398,新疆,兵团第四师,0,10,0,0,0.00,0.00
399,新疆,昌吉州,0,4,0,0,0.00,0.00
400,新疆,兵团第九师,0,4,0,0,0.00,0.00
401,新疆,第八师石河子,0,3,1,1,33.33,33.33
402,新疆,吐鲁番,1,3,0,1,0.00,33.33
403,新疆,巴州,0,3,0,0,0.00,0.00
404,新疆,六师五家渠,0,2,0,0,0.00,0.00
405,新疆,阿克苏,0,1,0,1,0.00,100.00
406,新疆,兵团第十二师,0,1,0,0,0.00,0.00
407,新疆,第七师,0,1,0,1,0.00,100.00
408,内蒙古,鄂尔多斯,0,11,0,3,0.00,27.27
409,内蒙古,包头,0,11,0,0,0.00,0.00
410,内蒙古,赤峰,2,9,0,2,0.00,22.22
411,内蒙古,巴彦淖尔,0,8,0,0,0.00,0.00
412,内蒙古,呼和浩特,0,7,0,0,0.00,0.00
413,内蒙古,锡林郭勒,0,6,0,1,0.00,16.67
414,内蒙古,呼伦贝尔,0,6,0,1,0.00,16.67
415,内蒙古,通辽,0,6,0,0,0.00,0.00
416,内蒙古,乌兰察布,0,3,0,0,0.00,0.00
417,内蒙古,乌海,0,2,0,0,0.00,0.00
418,内蒙古,兴安盟乌兰浩特,0,1,0,0,0.00,0.00
419,宁夏,银川,0,33,0,20,0.00,60.61
420,宁夏,吴忠,0,27,0,6,0.00,22.22
421,宁夏,固原,0,5,0,2,0.00,40.00
422,宁夏,中卫,0,3,0,3,0.00,100.00
423,宁夏,石嘴山,0,1,0,1,0.00,100.00
424,宁夏,宁东管委会,0,1,0,1,0.00,100.00
425,香港,地区待确认,0,56,1,1,1.79,1.79
426,台湾,地区待确认,0,18,0,1,0.00,5.56
427,青海,西宁,0,15,0,3,0.00,20.00
428,青海,海北州,0,3,0,0,0.00,0.00
429,青海,地区待确认,0,0,0,10,0.00,0.00
430,澳门,地区待确认,0,10,0,3,0.00,30.00
431,西藏,地区待确认,0,1,0,1,0.00,100.00
