,省,市,新增确认,确认,死亡,治愈
176,山东,菏泽,0,18,0,11
177,山东,日照,1,16,0,3
178,山东,滨州,0,14,0,9
179,四川,成都,1,140,1,49
180,四川,甘孜,0,44,0,3
181,四川,达州,0,36,0,5
182,四川,南充,0,35,0,9
183,四川,广安,0,30,0,8
184,四川,巴中,0,24,0,1
185,四川,内江,0,22,0,5
186,四川,绵阳,0,22,0,6
187,四川,泸州,0,19,0,2
188,四川,德阳,0,17,0,0
189,四川,攀枝花,0,13,0,10
190,四川,遂宁,2,12,0,4
191,四川,凉山,0,11,0,4
192,四川,宜宾,0,11,0,6
193,四川,自贡,0,9,0,2
194,四川,眉山,0,8,0,2
195,四川,雅安,0,7,0,2
196,四川,广元,0,6,0,2
197,四川,资阳,0,3,0,2
198,四川,乐山,0,3,0,2
199,四川,阿坝,0,1,0,0
200,黑龙江,哈尔滨,15,182,3,30
201,黑龙江,双鸭山,1,49,2,1
202,黑龙江,鸡西,1,46,0,1
203,黑龙江,绥化,0,46,4,12
204,黑龙江,齐齐哈尔,2,38,1,8
205,黑龙江,大庆,0,19,1,2
206,黑龙江,七台河,0,16,0,4
207,黑龙江,佳木斯,0,15,0,9
208,黑龙江,黑河,1,14,0,0
209,黑龙江,牡丹江,0,12,0,1
210,黑龙江,鹤岗,0,5,0,2
211,黑龙江,大兴安岭,0,2,0,0
212,黑龙江,伊春,0,1,0,0
213,北京,海淀,0,59,0,0
214,北京,朝阳,0,58,0,0
215,北京,西城,0,46,0,0
216,北京,大兴,0,39,0,0
217,北京,丰台,0,38,0,0
218,北京,外地来京,0,26,0,0
219,北京,昌平,0,24,0,0
220,北京,通州,0,17,0,0
221,北京,房山,0,14,0,0
222,北京,石景山,0,14,0,0
223,北京,东城,0,12,0,0
224,北京,顺义,0,10,0,0
225,北京,密云,0,7,0,0
226,北京,怀柔,0,7,0,0
227,北京,门头沟,0,3,0,0
228,北京,延庆,0,1,0,0
229,北京,地区待确认,0,0,4,97
230,上海,外地来沪,0,109,0,48
231,上海,浦东,1,57,0,27
232,上海,宝山,1,21,0,5
233,上海,徐汇,0,18,0,4
234,上海,闵行,0,18,0,7
235,上海,静安,0,16,0,7
236,上海,松江,0,14,0,2
237,上海,长宁,0,13,0,6
238,上海,普陀,0,11,0,2
239,上海,嘉定,0,9,0,2
240,上海,奉贤,0,9,0,1
241,上海,杨浦,0,9,0,2
242,上海,虹口,0,7,0,3
243,上海,黄浦,0,6,0,2
244,上海,青浦,0,5,0,4
245,上海,金山,0,3,0,2
246,上海,崇明,0,3,0,0
247,上海,地区待确认,0,0,1,0
248,河北,唐山,5,51,0,9
249,河北,沧州,1,47,2,14
250,河北,张家口,1,34,0,9
251,河北,保定,0,32,0,19
252,河北,邯郸,0,31,0,9
253,河北,廊坊,1,30,0,14
254,河北,石家庄,1,28,0,7
255,河北,邢台,0,22,1,10
256,河北,秦皇岛,0,10,0,3
257,河北,衡水,0,8,0,4
258,河北,承德,0,7,0,2
259,福建,福州,2,68,0,20
260,福建,莆田,0,55,0,10
261,福建,泉州,0,46,0,13
262,福建,厦门,0,34,0,5
263,福建,宁德,0,25,0,5
264,福建,漳州,0,20,0,6
265,福建,南平,0,20,0,5
266,福建,三明,0,13,0,3
267,福建,龙岩,0,6,0,1
268,福建,地区待确认,0,0,0,9
269,广西,南宁,1,50,0,11
270,广西,北海,0,43,1,7
271,广西,桂林,0,31,0,10
272,广西,柳州,0,24,0,8
273,广西,河池,0,22,1,0
274,广西,防城港,1,18,0,1
275,广西,来宾,0,11,0,0
276,广西,玉林,0,10,0,1
277,广西,贵港,0,8,0,2
278,广西,钦州,0,8,0,1
279,广西,梧州,0,5,0,5
280,广西,贺州,0,4,0,0
281,广西,百色,0,3,0,0
282,广西,崇左,0,0,0,0
283,陕西,西安,0,114,0,0
284,陕西,安康,0,24,0,0
285,陕西,汉中,0,21,0,0
286,陕西,咸阳,0,17,0,0
287,陕西,渭南,0,15,0,0
288,陕西,宝鸡,0,13,0,0
289,陕西,延安,0,8,0,0
290,陕西,铜川,0,8,0,0
291,陕西,商洛,0,7,0,0
292,陕西,榆林,0,3,0,0
293,陕西,韩城,0,1,0,0
294,陕西,杨凌,0,1,0,0
295,陕西,地区待确认,0,0,0,53
296,云南,昆明,0,48,0,8
297,云南,昭通市,0,25,0,2
298,云南,西双版纳州,0,15,0,3
299,云南,玉溪,0,14,0,3
300,云南,大理,0,13,0,6
301,云南,曲靖,0,13,0,5
302,云南,保山市,0,9,0,0
303,云南,红河,0,8,0,3
304,云南,丽江市,0,7,0,2
305,云南,德宏州,0,5,0,2
306,云南,普洱,0,4,0,0
307,云南,楚雄州,0,4,0,1
308,云南,文山州,0,2,0,0
309,云南,临沧,0,1,0,0
310,云南,地区待确认,0,0,0,7
311,海南,三亚,0,54,1,15
312,海南,海口,0,33,0,9
313,海南,儋州,0,15,0,2
314,海南,万宁,0,13,0,3
315,海南,澄迈县,0,9,1,1
316,海南,昌江县,0,7,0,0
317,海南,临高县,0,6,0,3
318,海南,琼海,0,6,1,1
319,海南,陵水县,0,4,0,0
320,海南,定安县,0,3,1,1
321,海南,东方,0,3,0,1
322,海南,保亭,0,3,0,0
323,海南,文昌,0,3,0,1
324,海南,乐东,0,2,0,0
325,海南,琼中县,0,1,0,1
326,贵州,贵阳,0,34,0,6
327,贵州,遵义,1,32,0,3
328,贵州,毕节,0,23,0,6
329,贵州,黔南州,0,17,0,5
330,贵州,黔东南州,0,10,0,3
331,贵州,铜仁,0,10,0,7
332,贵州,六盘水,0,10,1,3
333,贵州,黔西南州,0,4,0,4
334,贵州,安顺,0,4,0,0
335,山西,晋中,0,35,0,12
336,山西,太原,0,19,0,6
337,山西,运城,0,19,0,13
338,山西,大同,0,12,0,4
339,山西,晋城,1,9,0,2
340,山西,长治,0,8,0,0
341,山西,朔州,0,7,0,2
342,山西,忻州,0,7,0,0
343,山西,吕梁,0,6,0,6
344,山西,阳泉,0,4,0,0
345,山西,临汾,0,2,0,1
346,天津,宝坻区,2,48,2,9
347,天津,河东区,0,14,1,7
348,天津,河北区,0,12,0,7
349,天津,和平区,0,6,0,2
350,天津,南开区,0,6,0,1
351,天津,北辰区,0,6,0,1
352,天津,外地来津,0,6,0,2
353,天津,西青区,0,4,0,2
354,天津,河西区,0,4,0,2
355,天津,东丽区,0,4,0,1
356,天津,宁河区,0,4,0,0
357,天津,滨海新区,0,3,0,0
358,天津,武清区,0,2,0,1
359,天津,红桥区,0,2,0,2
360,天津,津南区,0,1,0,0
361,辽宁,沈阳,0,28,0,9
362,辽宁,大连,0,18,0,4
363,辽宁,锦州,0,12,0,6
364,辽宁,盘锦,0,11,0,0
365,辽宁,葫芦岛,0,11,1,0
366,辽宁,阜新,0,8,0,0
367,辽宁,丹东,0,7,0,4
368,辽宁,铁岭,0,7,0,1
369,辽宁,朝阳市,0,6,0,2
370,辽宁,鞍山,0,4,0,0
371,辽宁,本溪,0,3,0,1
372,辽宁,辽阳,0,3,0,1
373,辽宁,营口,0,1,0,1
374,甘肃,兰州,0,35,2,17
375,甘肃,天水,0,12,0,9
376,甘肃,定西,0,9,0,4
377,甘肃,平凉,0,9,0,1
378,甘肃,甘南州,0,8,0,2
379,甘肃,陇南,0,4,0,3
380,甘肃,白银,0,4,0,0
381,甘肃,庆阳,0,3,0,2
382,甘肃,临夏,0,3,0,3
383,甘肃,张掖,0,2,0,2
384,甘肃,金昌,0,1,0,1
385,甘肃,地区待确定,0,0,0,5
386,吉林,长春,1,45,0,14
387,吉林,四平,0,14,1,4
388,吉林,辽源,0,7,0,1
389,吉林,公主岭,0,6,0,2
390,吉林,吉林,0,5,0,3
391,吉林,延边,0,5,0,2
392,吉林,通化,0,3,0,0
393,吉林,松原,0,2,0,1
394,吉林,梅河口市,0,1,0,1
395,吉林,白城,0,1,0,0
396,宁夏,银川,0,33,0,20
397,宁夏,吴忠,0,27,0,6
398,宁夏,固原,0,5,0,2
399,宁夏,中卫,0,3,0,3
400,宁夏,石嘴山,0,1,0,1
401,宁夏,宁东管委会,0,1,0,1
402,新疆,乌鲁木齐,0,23,0,3
403,新疆,伊犁州,0,16,0,4
404,新疆,兵团第四师,0,10,0,0
405,新疆,兵团第九师,0,4,0,0
406,新疆,昌吉州,0,4,0,0
407,新疆,第八师石河子,0,3,1,1
408,新疆,吐鲁番,1,3,0,1
409,新疆,巴州,0,3,0,0
410,新疆,六师五家渠,0,2,0,0
411,新疆,阿克苏,0,1,0,1
412,新疆,兵团第十二师,0,1,0,0
413,新疆,第七师,0,1,0,1
414,内蒙古,鄂尔多斯,0,11,0,2
415,内蒙古,包头,0,11,0,0
416,内蒙古,巴彦淖尔,0,8,0,0
417,内蒙古,呼和浩特,0,7,0,0
418,内蒙古,赤峰,0,7,0,2
419,内蒙古,呼伦贝尔,0,6,0,1
420,内蒙古,通辽,0,6,0,0
421,内蒙古,锡林郭勒,0,6,0,1
422,内蒙古,乌兰察布,0,3,0,0
423,内蒙古,乌海,0,2,0,0
424,内蒙古,兴安盟乌兰浩特,0,1,0,0
425,香港,地区待确认,0,56,1,1
426,台湾,地区待确认,0,18,0,1
427,青海,西宁,0,15,0,3
428,青海,海北州,0,3,0,0
429,青海,地区待确认,0,0,0,8
430,澳门,地区待确认,0,10,0,3
431,西藏,地区待确认,0,1,0,1
